title,link,price,review
더 트릭컬,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372424198,"19,800원",10.0
절창,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371723601,"16,200원",9.5
흔한남매 20,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371918127,"15,120원",10.0
호의에 대하여,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370615846,"16,920원",8.3
혼모노,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361016676,"16,200원",8.7
렛뎀 이론,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369493586,"18,000원",9.8
가라오케 가자!,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=292511593,"7,650원",9.6
패밀리 레스토랑 가자. 上,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337054427,"7,650원",9.7
형이상학의 근본개념들,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370422490,"31,500원",10.0
시대예보: 경량문명의 탄생,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370922260,"19,800원",9.6
"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=353981757,"14,850원",9.6
"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=353981994,"14,400원",9.0
트렌드 코리아 2026,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371447935,"18,000원",6.0
지박소년 하나코 군 24 (더블 특장판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372013611,"5,400원",10.0
"빠졌어, 너에게",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269056986,"7,650원",9.6
양면의 조개껍데기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370247727,"15,750원",9.4
체인소 맨 20,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371535926,"5,400원",8.0
팩트풀니스 (50만 부 뉴에디션),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345384332,"21,420원",8.7
모순,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=25843736,"11,700원",9.1
데뷔 못 하면 죽는 병 걸림 4부 초판 한정 굿즈박스 세트 - 전4권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370359907,"116,100원",10.0
안녕이라 그랬어,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365665217,"15,120원",9.6
소설 보다 : 가을 2025,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372103996,"4,950원",8.5
중독은 뇌를 어떻게 바꾸는가,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371105102,"19,800원",9.7
"2025 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=354080547,"17,550원",10.0
